protein,mean_mouse,mean_bat,t,df,p_value,signif,higher_in
NDP52,0,0.42786797328888887,-10.1103927978538,8,7.81971499669584e-6,***,Bat
K63-linked Ub (per GAPDH),4.635806082666666,6.805008202222222,-7.607740994458896,9.99614887112144,1.8279013230095644e-5,***,Bat
LC3B,0.004551735403333333,0.2859307183888889,-8.146937418002654,8.069423876068655,3.643276175147295e-5,***,Bat
Total Ub (per GAPDH),8.270251628,11.162091612444444,-4.784532199790256,9.04715810379576,9.805060380508217e-4,***,Bat
PRKN,0.01889118639,0.06454468383777778,-3.3425651276795505,9.28402427702514,0.008259587499090842,**,Bat
PINK1_v2,0.7389254162666667,0.2538003551288889,2.008272814626467,2.8006023608148545,0.14469809183078913,ns,Mouse
PINK1,0.3793279899,0.16566911831,1.850610725022344,3.2043941978527797,0.15542901982822574,ns,Mouse
Phospho-Ub (per tubulin),10.461932465666667,7.937108055444445,1.3465150738193576,9.154096390247918,0.21052653315008804,ns,Mouse
P62,0.15149593157333333,0.22310888965333334,-0.8689355248206418,4.467611744899233,0.42908221574951455,ns,Bat
BNIP3,0.42111655633333334,0.5793585212555555,-0.6974495667805111,8.020924615452952,0.5052318345414646,ns,Bat
K48-linked Ub (per GAPDH),9.380169605333332,9.526197268333334,-0.19654045037724463,9.882440364989883,0.8481700726530936,ns,Bat
OPTN,0.18494789096333333,0.19994097632777777,-0.19782259051416742,3.6431250938373747,0.8537240227778069,ns,Bat
